"Id","MaKhoa","TenKhoa","MoTa"
1,CNTT,Khoa Công nghệ thông tin,
2,TCTM,Khoa Tài chính - Thương mại,
3,KTMT,Khoa Kiến trúc - Mỹ thuật,
4,QTKD,Khoa Quản trị Kinh doanh,
5,QTDL,Khoa QT Du lịch - Nhà hàng - Khách sạn,
6,TA,Khoa Tiếng Anh,
7,NBH,Khoa Nhật Bản học,
8,XD,Khoa Xây dựng,
9,LUAT,Khoa Luật,
10,DUOC,Khoa Dược,
11,HTTTQL,Khoa Hệ thống thông tin quản lý,
12,TTTK,Khoa Truyền thông - Thiết kế,
13,KTHUTECH,Viện Kỹ thuật HUTECH,
14,KHUDHUTECH,Viện Khoa học ứng dụng HUTECH,
15,KHXHNV,Viện Khoa học Xã hội và Nhân văn,
16,DTQT,Viện Đào tạo Quốc tế HUTECH,
17,CNVN,Viện Công nghệ Việt - Nhật,
18,CNHAN,Viện Công nghệ Việt - Hàn,
19,TTHNNKN,Trung tâm Tin học - Ngoại ngữ - Kỹ năng,
20,GDCTQP,TT Giáo dục chính trị - Quốc phòng,
21,DTXA,Trung tâm Đào tạo từ xa,
22,VPDDT,Văn phòng Đảng - Đoàn thể,
