"Id","MaLop","TenLop","MoTa","NganhId"
1,"22DTHG1","22DTHG1",,1
2,"22DTHG2","22DTHG2",,1
3,"22DTHG3","22DTHG3",,1
4,"22DTHG4","22DTHG4",,1
5,"22DTHG5","22DTHG5",,1
6,"22DTHG6","22DTHG6",,1
7,"22DTHG7","22DTHG7",,1
8,"22DTHG8","22DTHG8",,1
9,"22DTHG9","22DTHG9",,1
10,"22DTHG10","22DTHG10",,1
11,"22DTHG11","22DTHG11",,1
12,"22DTHG12","22DTHG12",,1
13,"22DSHA1","22DSHA1",,2
14,"22DSHA2","22DSHA2",,2
15,"22DSHA3","22DSHA3",,2
16,"22DMTA1","22DMTA1",,3
17,"22DMTA2","22DMTA2",,3
18,"22DMTA3","22DMTA3",,3
19,"22DTPA1","22DTPA1",,4
20,"22DTPA2","22DTPA2",,4
21,"22DTPA3","22DTPA3",,4
22,"22DQTA1","22DQTA1",,5
23,"22DQTA2","22DQTA2",,5
24,"22DQTA3","22DQTA3",,5
25,"22DKSA1","22DKSA1",,6
26,"22DKSA2","22DKSA2",,6
27,"22DKSA3","22DKSA3",,6
28,"22DDLA1","22DDLA1",,7
29,"22DDLA2","22DDLA2",,7
30,"22DDLA3","22DDLA3",,7
31,"22DLHA1","22DLHA1",,8
32,"22DLHA2","22DLHA2",,8
33,"22DLHA3","22DLHA3",,8
34,"22DNHA1","22DNHA1",,9
35,"22DNHA2","22DNHA2",,9
36,"22DNHA3","22DNHA3",,9
37,"22DKTA1","22DKTA1",,10
38,"22DKTA2","22DKTA2",,10
39,"22DKTA3","22DKTA3",,10
40,"22DTCA1","22DTCA1",,11
41,"22DTCA2","22DTCA2",,11
42,"22DTCA3","22DTCA3",,11
43,"22DXDA1","22DXDA1",,12
44,"22DXDA2","22DXDA2",,12
45,"22DXDA3","22DXDA3",,12
46,"22DKXA1","22DKXA1",,13
47,"22DKXA2","22DKXA2",,13
48,"22DKXA3","22DKXA3",,13
49,"22DXCA1","22DXCA1",,14
50,"22DXCA2","22DXCA2",,14
51,"22DXCA3","22DXCA3",,14
52,"22DNTA1","22DNTA1",,15
53,"22DNTA2","22DNTA2",,15
54,"22DNTA3","22DNTA3",,15
55,"22DTTA1","22DTTA1",,16
56,"22DTTA2","22DTTA2",,16
57,"22DTTA3","22DTTA3",,16
58,"22DTAA1","22DTAA1",,17
59,"22DTAA2","22DTAA2",,17
60,"22DTAA3","22DTAA3",,17
61,"22DTNA1","22DTNA1",,18
62,"22DTNA2","22DTNA2",,18
63,"22DTNA3","22DTNA3",,18
64,"22DDCA1","22DDCA1",,19
65,"22DDCA2","22DDCA2",,19
66,"22DDCA3","22DDCA3",,19
67,"22DCTA1","22DCTA1",,20
68,"22DCTA2","22DCTA2",,20
69,"22DCTA3","22DCTA3",,20
70,"22DCKA1","22DCKA1",,21
71,"22DCKA2","22DCKA2",,21
72,"22DCKA3","22DCKA3",,21
73,"22DTDA1","22DTDA1",,22
74,"22DTDA2","22DTDA2",,22
75,"22DTDA3","22DTDA3",,22
76,"22DLKA1","22DLKA1",,23
77,"22DLKA2","22DLKA2",,23
78,"22DLKA3","22DLKA3",,23
79,"22DKIA1","22DKIA1",,24
80,"22DKIA2","22DKIA2",,24
81,"22DKIA3","22DKIA3",,24
82,"22DTLA1","22DTLA1",,25
83,"22DTLA2","22DTLA2",,25
84,"22DTLA3","22DTLA3",,25
85,"22DMAA1","22DMAA1",,26
86,"22DMAA2","22DMAA2",,26
87,"22DMAA3","22DMAA3",,26
