Id,MaMonHoc,TenMonHoc,SoTinChi,MoTa
1,POS104,Triết học Mác - Lênin,3,
2,POS105,Kinh tế Chính trị Mác - Lênin,2,
3,POS106,Chủ nghĩa xã hội khoa học,2,
4,POS107,Lịch sử Đảng Cộng sản Việt Nam,2,
5,POS103,Tư tưởng Hồ Chí Minh,2,
6,ENC101,Tiếng Anh 1,3,
7,ENC102,Tiếng Anh 2,3,
8,ENC103,Tiếng Anh 3,3,
9,ENC104,Tiếng Anh 4,3,
10,CMP163,Công tác kỹ sư ngành Công nghệ thông tin,3,
11,MAT101,Đại số tuyến tính,3,
12,MAT118,Giải tích,3,
13,ENS109,Môi trường,3,
14,PSY167,Tâm lý học ứng dụng,3,
15,SKL115,Tư duy thiết kế dự án,3,
16,SKL116,Đổi mới sáng tạo và tư duy khởi nghiệp,3,
17,LAW106,Pháp luật đại cương,3,
18,MAT105,Xác suất thống kê,3,
19,MAT104,Toán rời rạc,3,
20,CMP1074,Cơ sở lập trình,3,
21,CMP164,Kỹ thuật lập trình,3,
22,CMP167,Lập trình hướng đối tượng,3,
23,COS135,Nhập môn cơ sở dữ liệu,3,
24,COS136,Phân tích và quản trị cơ sở dữ liệu,3,
25,COS120,Cấu trúc dữ liệu và giải thuật,3,
26,COS101,Cơ sở dữ liệu nâng cao,3,
27,COS137,Nhập môn kiến trúc máy tính,3,
28,COS138,Nhập môn hệ điều hành,3,
29,CMP174,Bảo mật thông tin,3,
30,CMP101,Công nghệ phần mềm,3,
31,CMP180,Lập trình mạng máy tính,3,
32,CMP170,Lập trình trên môi trường Windows,3,
33,CMP177,Lập trình trên thiết bị di động,3,
34,CMP175,Lập trình Web,3,
35,CMP172,Mạng máy tính,3,
36,CMP184,Phân tích thiết kế hệ thống,3,
37,MAN104,Quản lý dự án công nghệ thông tin,3,
38,CMP169,Trí tuệ nhân tạo,3,
39,CMP383,Thực hành an toàn máy chủ Windows,1,
40,CMP382,Thực hành bảo mật thông tin,1,
41,COS339,Thực hành bảo mật thông tin nâng cao,1,
42,COS321,Thực hành cấu trúc dữ liệu và giải thuật,1,
43,COS323,Thực hành cơ sở dữ liệu,1,
44,COS318,Thực hành hệ điều hành,1,
45,COS319,Thực hành kiến trúc máy tính,1,
46,CMP3075,Thực hành Cơ sở lập trình,1,
47,CMP365,Thực hành kỹ thuật lập trình,1,
48,CMP368,Thực hành lập trình hướng đối tượng,1,
49,CMP381,Thực hành lập trình mạng máy tính,1,
50,CMP371,Thực hành lập trình trên môi trường Windows,1,
51,CMP376,Thực hành lập trình Web,1,
52,CMP3014,Thực hành lý thuyết đồ thị,1,
53,CMP373,Thực hành mạng máy tính,1,
54,CMP385,Thực hành phân tích thiết kế hệ thống,1,
55,CMP3019,Thực hành phân tích thiết kế theo hướng đối tượng,1,
56,COS340,Thực hành Phát triển phần mềm mã nguồn mở,1,
57,COS324,Thực hành quản trị cơ sở dữ liệu,1,
58,CMP437,Đồ án cơ sở công nghệ thông tin,3,
59,CMP436,Đồ án chuyên ngành Công nghệ thông tin,3,
60,CMP596,Thực tập tốt nghiệp ngành Công nghệ thông tin (*),3,
