"Id","MaNganh","TenNganh","KhoaId"
1,"7480201",Công nghệ thông tin,1
2,"7480202",An toàn thông tin,1
3,"7480101",Khoa học máy tính,1
4,"7480107",Trí tuệ nhân tạo,1
5,"7460108",Khoa học dữ liệu (Data Science),1
6,"7340405",Hệ thống thông tin quản lý,11
7,"7510209",Robot & trí tuệ nhân tạo,13
8,"7510205",Công nghệ kỹ thuật ô tô,13
9,"7520141",Công nghệ ô tô điện,13
10,"7480106",Kỹ thuật máy tính,13
11,"7510206",Kỹ thuật nhiệt,13
12,"7520103",Kỹ thuật cơ khí,13
13,"7520114",Kỹ thuật cơ điện tử,13
14,"7520201",Kỹ thuật điện,13
15,"7520207",Kỹ thuật điện tử - viễn thông,13
16,"7520216",Kỹ thuật điều khiển và tự động hóa,13
17,"7580201",Kỹ thuật xây dựng,8
18,"7580302",Quản lý xây dựng,8
19,"7340201",Tài chính - Ngân hàng,2
20,"7340301",Kế toán,2
21,"7340205",Công nghệ tài chính,2
22,"7340101",Quản trị kinh doanh,4
23,"7340114",Digital Marketing,4
24,"7340115",Marketing,2
25,"7310109",Kinh tế số,2
26,"7340121",Kinh doanh thương mại,2
27,"7340122",Thương mại điện tử,2
28,"7340120",Kinh doanh quốc tế,2
29,"7310106",Kinh tế quốc tế,2
30,"7340116",Bất động sản,2
31,"7510605",Logistics & quản lý chuỗi cung ứng,2
32,"7310401",Tâm lý học,15
33,"7320108",Quan hệ công chúng,4
34,"7340404",Quản trị nhân lực,4
35,"7810201",Quản trị khách sạn,5
